split,group,json_path,image_path,page_id,instance_id,class_id,class_name,visual_instruction,visual_answer,x,y,w,h,width,height
train,press,/workspace/data/train/json/MI3_240725_TY2_0002_1.json,/workspace/data/train/jpg/MI2_240725_TY2_0002_1.jpg,MI3_240725_TY2_0002_1,MI3_240725_TY2_0002_1_V01_1,V01,표,감염병전문병원 추진 개요 차트(세로 막대형)에 대해 알려주세요,"차트(세로 막대형)은 권역별 감염병전문병원의 현황을 시각적으로 보여주는 자료입니다. 이 차트는 각 권역의 의료기관명과 지정 시기, 추진 단계, 완공 예정일을 나타냅니다. 이를 통해 호남권을 포함한 여러 권역에서 감염병 대응을 위한 전문 병원이 어떻게 준비되고 있는지를 알 수 있습니다.",234.24595863682708,2218.8136523654935,2019.9313566885296,639.3346680492356,2480,3508
train,press,/workspace/data/train/json/MI3_240725_TY2_0002_2.json,/workspace/data/train/jpg/MI2_240725_TY2_0002_2.jpg,MI3_240725_TY2_0002_2,MI3_240725_TY2_0002_2_V01_1,V01,표,감염병 대응 인프라 차트에 대해 알려주세요,"이 차트는 감염병 대응을 위한 인프라의 구축 상황을 나타냅니다. 차트의 범례는 각 권역별 감염병 전문 병원과 관련된 정보로 구성되어 있습니다. 본문과 이 차트를 통해, 권역별로 의료자원의 공동 활용 및 신종 감염병 대응 체계의 필요성이 강조되고 있음을 알 수 있습니다.",206.77973112719752,2227.4167528438466,2075.0527404343334,921.4395036194417,2480,3508
train,press,/workspace/data/train/json/MI3_240725_TY2_0002_3.json,/workspace/data/train/jpg/MI2_240725_TY2_0002_3.jpg,MI3_240725_TY2_0002_3,MI3_240725_TY2_0002_3_V01_1,V01,표,권역 구분 및 질병대응센터 현황에 대해 알려주세요,"이 차트는 각 권역별 질병대응센터의 현황을 보여줍니다. 범례는 각 권역과 해당 질병대응센터의 목록으로 구성되어 있습니다. 이 정보를 통해 권역별로 어떤 병원이 지정되었는지, 그리고 그들 간의 분포를 확인할 수 있습니다.",221.29059833085734,2471.801177418162,2038.7755946225464,357.8160493566608,2480,3508
train,press,/workspace/data/train/json/MI3_240725_TY2_0003_1.json,/workspace/data/train/jpg/MI2_240725_TY2_0003_1.jpg,MI3_240725_TY2_0003_1,MI3_240725_TY2_0003_1_V01_3,V01,표,2024년 질병관리청 민생정책과 구분 차트(세로 막대형)에 대해 알려주세요,"구분 차트(세로 막대형)는 2022년부터 2024년까지의 검역소에서 수행한 뎅기열 신속키트검사 현황을 보여줍니다. 이 차트의 범례는 각 연도와 검사 기관에 따라 나뉘어 있으며, 해당 기관과 검사 시기를 명시하고 있습니다. 본문 내용을 바탕으로 보면, 검역소 수가 증가함에 따라 유증상자 및 희망자를 대상으로 하는 검사 횟수가 지속적으로 확대되고 있는 추세입니다.",233.16265812922342,1905.7180486576062,2029.5423155926403,321.69870418624225,2480,3508
train,press,/workspace/data/train/json/MI3_240725_TY2_0003_2.json,/workspace/data/train/jpg/MI2_240725_TY2_0003_2.jpg,MI3_240725_TY2_0003_2,MI3_240725_TY2_0003_2_V01_1,V01,표,연도별 뎅기열 환자 발생현황 표에 대해 알려주세요,"연도별 뎅기열 환자 발생현황 표는 2014년부터 2023년까지의 환자 수를 보여줍니다. 이 표의 범례에는 각 연도와 해당 연도의 환자 수가 포함되어 있습니다. 2023년은 이전 해에 비해 두 배 증가한 206명의 환자가 보고되었으며, 이는 최근 몇 년 간 뎅기열 감염이 증가하고 있음을 나타냅니다.",235.8014477766288,1523.728323772171,1984.3598759048605,265.19262945874726,2480,3508
train,press,/workspace/data/train/json/MI3_240725_TY2_0003_2.json,/workspace/data/train/jpg/MI2_240725_TY2_0003_2.jpg,MI3_240725_TY2_0003_2,MI3_240725_TY2_0003_2_V02-1_1,V02-1,차트(세로 막대형),최근 5년간 뎅기열 유입국가 차트(세로 막대형)에 대해 알려주세요,"최근 5년간 뎅기열 유입국가 차트(세로 막대형)는 해당 기간 동안 유입된 국가들의 발생 빈도를 시각적으로 표현합니다. 차트의 범례는 각 국가와 그에 해당하는 발생 수치를 나타냅니다. 이 차트는 특정 국가에서의 뎅기열 발생이 시간이 지남에 따라 어떻게 변화했는지를 보여주며, 특히 동남아시아 국가에서 높은 빈도로 나타나는 경향을 보이고 있습니다.",199.52430196483982,1948.640460362013,2085.935884177871,773.512080330142,2480,3508
train,press,/workspace/data/train/json/MI3_240725_TY2_0003_3.json,/workspace/data/train/jpg/MI2_240725_TY2_0003_3.jpg,MI3_240725_TY2_0003_3,MI3_240725_TY2_0003_3_V02-5_1,V02-5,차트(영역형),전세계 토착 뎅기열 사례 국가 영역형에 대해 알려주세요,"전세계 토착 뎅기열 사례 국가 영역형은 각국에서 보고된 뎅기열 발생 현황을 시각적으로 나타냅니다. 이 영역형의 범례는 인구 10만 명당 발생 건수를 기준으로 합니다. 최근 데이터에 따르면, 여러 국가에서 뎅기열 발생이 급증하고 있으며, 이는 질병의 확산이 확대되고 있음을 시사합니다.",235.46431976406038,1007.8719941512,2030.5356792748398,1266.705048247973,2480,3508
train,press,/workspace/data/train/json/MI3_240725_TY2_0003_3.json,/workspace/data/train/jpg/MI2_240725_TY2_0003_3.jpg,MI3_240725_TY2_0003_3,MI3_240725_TY2_0003_3_V01_1,V01,표,2023년 주요 국가별 발생 및 사망 현황 표에 대해 알려주세요,"2023년 주요 국가별 발생 및 사망 현황 표는 각국의 뎅기열 발생과 사망자 수를 정리한 데이터입니다. 이 표에서는 방글라데시, 필리핀 등 여러 나라의 구체적인 수치를 보여주며, 날짜별 보고일도 포함되어 있습니다. 전체적으로 아시아 지역에서 높은 발생률을 보이고 있으며, 몇몇 국가는 심각한 상황에 처해 있는 것으로 분석됩니다.",264.86808968403136,2376.1530506721815,1995.2431972272786,841.629782833506,2480,3508
train,press,/workspace/data/train/json/MI3_240725_TY2_0004_1.json,/workspace/data/train/jpg/MI2_240725_TY2_0004_1.jpg,MI3_240725_TY2_0004_1,MI3_240725_TY2_0004_1_V01_1,V01,표,코로나19 인플루엔자 호흡기세포융합바이러스 차트(세로 막대형)에 대해 알려주세요,"이 차트는 1월 1주 동안 급성호흡기감염증으로 입원한 환자들 중 다양한 바이러스의 분포를 보여줍니다. 범례에는 각 바이러스별 환자 수와 그 비율이 포함되어 있습니다. 코로나19가 가장 높은 비중을 차지하며, 그 뒤를 인플루엔자와 호흡기세포융합바이러스가 따릅니다.",164.4249210239265,989.4363161093651,2131.9184088623197,396.3506539009743,2480,3508
train,press,/workspace/data/train/json/MI3_240725_TY2_0004_1.json,/workspace/data/train/jpg/MI2_240725_TY2_0004_1.jpg,MI3_240725_TY2_0004_1,MI3_240725_TY2_0004_1_V01_2,V01,표,인플루엔자 호흡기 리노 사람 파라인플 차트(가로 막대형)에 대해 알려주세요,"이 차트는 중증급성호흡기감염증 입원환자의 다양한 바이러스 감염률을 시각적으로 나타냅니다. 각 바이러스에 따른 환자 수와 비율이 범례로 제공됩니다. 최근 데이터에 따르면 인플루엔자가 가장 많이 발생하고 있으며, 코로나19는 그 다음으로 나타났습니다.",201.5021518323865,2072.5892683511615,2070.9082007621373,388.8487689222035,2480,3508
