split,group,json_path,image_path,page_id,instance_id,class_id,class_name,visual_instruction,visual_answer,x,y,w,h,width,height
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_1.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_1.jpg,MI3_240819_TY1_0012_1,MI3_240819_TY1_0012_1_V02-8_1,V02-8,차트(혼합형),제목에 따라 실질가계소득 및 민간소비 혼합형 차트에 대해 알려주세요,"실질가계소득 및 민간소비 혼합형 차트는 시간에 따른 소득과 소비 수준을 함께 보여주는 방식으로 구성되어 있습니다. 범례를 통해 각 축이 무엇을 의미하는지 이해할 수 있습니다. 본문에서는 실질가계소득과 민간소비 간의 관계를 분석하며, 물가상승률이 실질 소비에 미치는 영향을 설명합니다.",395.41067986280336,1409.6706192358345,812.2777645677022,804.2055335968358,2480,3508
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_1.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_1.jpg,MI3_240819_TY1_0012_1,MI3_240819_TY1_0012_1_V02-8_2,V02-8,차트(혼합형),제목에 따라 가계대출금리 및 이자지급액 혼합형 차트에 대해 알려주세요,"가계대출금리 및 이자지급액 혼합형 차트는 두 가지 데이터를 동시에 나타내며, 각 요소의 변화를 시각적으로 비교할 수 있도록 설계되었습니다. 범례를 통해 좌축과 우축에 해당하는 데이터의 의미를 구분할 수 있습니다. 본문에서는 가계대출금리와 이자지급액의 변동을 다루고 있으며, 최근 몇 년간 이러한 요소들이 어떻게 변화해 왔는지를 보여줍니다.",1238.6613965744343,1405.048748353092,836.0771909990302,820.8314343155578,2480,3508
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_1.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_1.jpg,MI3_240819_TY1_0012_1,MI3_240819_TY1_0012_1_V01_1,V01,표,제목에 따라 연도별 민간소비 변화 추세 표에 대해 알려주세요,"연도별 민간소비 변화 추세 표는 특정 기간 동안의 소비 증가율을 명확하게 제시합니다. 표에는 각 연도별 상반기와 하반기 소비 증가율이 나열되어 있어 연속적인 변화를 쉽게 비교할 수 있습니다. 본문에서는 2016년부터 2018년까지의 소비 변화 경향을 보여주며, 이를 바탕으로 향후 전망도 제시하고 있습니다.",445.21615154651096,2745.3913043478233,1651.5966824142197,365.1277997364944,2480,3508
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_2.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_2.jpg,MI3_240819_TY1_0012_2,MI3_240819_TY1_0012_2_V02-8_1,V02-8,차트(혼합형),설비투자 선행지표 미래 성장동력 관련 공약 차트(혼합형)에 대해 알려주세요,"설비투자 선행지표를 나타내는 혼합형 차트입니다. 이 차트의 범례에는 OECD 경기선행지수와 국내 기계수주 데이터를 포함하여, 시간에 따른 변화를 시각적으로 보여줍니다. 데이터 분석 결과, IT 부문의 높은 증가세와 정부의 신산업 육성 정책이 함께 작용하여 전체적인 설비투자가 견조하게 증가하고 있는 것을 확인할 수 있습니다.",380.46109074305576,1076.8959156785224,842.867014824823,695.482149948575,2480,3508
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_2.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_2.jpg,MI3_240819_TY1_0012_2,MI3_240819_TY1_0012_2_V02-1_1,V02-1,차트(세로 막대형),설비투자 미래 성장동력 관련 공약 차트(혼합형)에 대해 알려주세요,"미래 성장동력 관련 공약을 나타내는 혼합형 차트입니다. 이 차트의 범례는 전년 동기 대비 비율을 보여주며, OECD 경기선행지수와 국내 기계수주를 함께 비교합니다. 본문 내용과 이 차트를 통해 현재 설비투자의 증가 추세가 긍정적으로 나타나고 있으며, 특히 신산업 육성을 위한 정책들이 투자 회복에 도움이 되고 있음을 알 수 있습니다.",369.7496706192353,2432.790598487536,855.0461133069815,668.7809313950263,2480,3508
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_3.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_3.jpg,MI3_240819_TY1_0012_3,MI3_240819_TY1_0012_3_V02-4_1,V02-4,차트(꺾은선형),유가 및 나프타 가격 꺾은선형에 대해 알려주세요,"유가 및 나프타 가격 꺾은선형은 시간에 따른 두 가격의 변화를 시각적으로 표현합니다. 이 차트는 유가와 나프타 가격 간의 상관관계를 설명하는 범례를 포함하고 있습니다. 본문 내용과 함께 볼 때, 최근 몇 년간 유가는 불안정하게 변화하였으며, 나프타 가격도 이에 따라 영향을 받고 있음을 알 수 있습니다.",374.37154150197534,1100.0052700922247,842.6481790171001,713.0169584926448,2480,3508
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_3.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_3.jpg,MI3_240819_TY1_0012_3,MI3_240819_TY1_0012_3_V02-4_2,V02-4,차트(꺾은선형),해운운임 및 선박 발주량 꺾은선형에 대해 알려주세요,"해운운임 및 선박 발주량 꺾은선형은 시간에 따른 해운 운임과 선박 발주량의 변화를 나타냅니다. 이 차트는 두 가지 지표 간의 관계를 보여주는 범례를 포함하고 있습니다. 본문에서 언급된 바와 같이, 해운업계의 운임이 낮아지는 추세 속에서 신규 선박 발주량 역시 감소하는 경향을 보이고 있음을 알 수 있습니다.",1241.08174991967,1100.005270092224,847.051214092117,700.6190242027623,2480,3508
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_4.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_4.jpg,MI3_240819_TY1_0012_4,MI3_240819_TY1_0012_4_V02-8_1,V02-8,차트(혼합형),R&D투자와 IT수출 혼합형 차트에 대해 알려주세요,"R&D 투자와 IT 수출의 관계를 나타내는 혼합형 차트는 두 가지 데이터를 비교하는 데 유용합니다. 이 차트에서는 연도별 R&D 투자 및 IT 수출의 변화를 시각적으로 보여주며, 두 지표 간의 상관관계를 분석할 수 있습니다. 전체적인 추세로 보아, R&D 투자가 증가함에 따라 IT 수출 또한 상승하는 경향을 확인할 수 있습니다.",388.016551388955,1268.59325593163,833.5659831954675,682.8488718658808,2480,3508
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_4.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_4.jpg,MI3_240819_TY1_0012_4,MI3_240819_TY1_0012_4_V01_1,V01,표,과학기술 진흥에 대한 표에 대해 알려주세요,"과학기술 진흥을 다룬 표는 연구개발 생태계 조성과 관련된 내용을 포함합니다. 이 표는 ICT 기반 확충과 4차 산업혁명 핵심사업 지원 등을 설명하고 있습니다. 본문 내용과 함께 볼 때, 과학기술 분야에서의 혁신과 지원이 강조되고 있는 추세를 보여줍니다.",1253.715028002364,1224.7957839262174,845.2309617829393,729.4635869531866,2480,3508
train,report,/workspace/data/train/json/MI3_240819_TY1_0012_5.json,/workspace/data/train/jpg/MI2_240819_TY1_0012_5.jpg,MI3_240819_TY1_0012_5,MI3_240819_TY1_0012_5_V02-8_1,V02-8,차트(혼합형),주거용 건물 착공면적 혼합형에 대해 알려주세요,"주거용 건물 착공면적 혼합형은 여러 데이터를 시각적으로 표현하여 트렌드를 쉽게 이해할 수 있도록 도와줍니다. 이 혼합형 차트는 주거용 착공면적의 변화율을 나타내며, 두 축에서 다른 지표들을 비교할 수 있게 해줍니다. 최근 데이터에 따르면, 주거용 건물의 착공면적이 줄어들고 있는 가운데, 증가세가 둔화될 것으로 예상됩니다.",388.2371541501976,1663.873517786561,850.4242424242426,633.1963109354417,2480,3508
